fid,id,cod_ine_mu,cod_ine__1,cod_catast,nom_mun,nom_mun_ca,nom_mun__1,nom_mun_va,nom_mun__2,noms_mun,comarca,provincia,perimetro,area_ha,coord_x,coord_y
509,"280","46208","462080","46210",Rafelcofer,Rafelcofer,Rafelcofer,Rafelcofer,Rafelcofer,Rafelcofer,la Safor,València/Valencia,6441.899999999999636,203.479999999999990,745362.682400,4313264.266000
510,"97","46210","462107","46212",Ráfol de Salem,Ráfol de Salem,Ráfol de Salem,Ráfol de Salem,Ráfol de Salem,Ráfol de Salem,la Vall d'Albaida,València/Valencia,12509.500000000000000,432.720000000000027,724822.020400,4304948.755000
511,"55","46212","462129","46214",Real,Real,Real,Real,Real,Real,la Ribera Alta,València/Valencia,22441.700000000000728,1830.990000000000009,704968.695800,4354262.845000
512,"30","46213","462135","46215",Requena,Requena,Requena,Requena,Requena,Requena,La Plana de Utiel-Requena,València/Valencia,143653.799999999988358,81426.899999999994179,660399.679700,4366898.423000
513,"268","46214","462140","46216",Riba-roja de Túria,Riba-roja de Túria,Riba-roja de Túria,Riba-roja de Túria,Riba-roja de Túria,Riba-roja de Túria,el Camp de Túria,València/Valencia,43721.099999999998545,5768.560000000000400,709718.772600,4377350.145000
514,"425","46215","462153","46217",Riola,Riola,Riola,Riola,Riola,Riola,la Ribera Baixa,València/Valencia,14630.200000000000728,559.210000000000036,729957.004500,4341208.311000
515,"497","46216","462166","46218",Rocafort,Rocafort,Rocafort,Rocafort,Rocafort,Rocafort,l'Horta Nord,València/Valencia,10375.899999999999636,230.159999999999997,722298.765700,4379461.364000
516,"307","46218","462188","46220",Ròtova,Ròtova,Ròtova,Ròtova,Ròtova,Ròtova,la Safor,València/Valencia,14311.500000000000000,765.889999999999986,736737.556700,4313603.311000
517,"232","46220","462205","46222",Sagunt,Sagunto,Sagunto,Sagunt,Sagunt,Sagunt/Sagunto,el Camp de Morvedre,València/Valencia,117611.000000000000000,13405.809999999999491,733394.764900,4396902.593000
518,"70","46223","462233","46225",Sedaví,Sedaví,Sedaví,Sedaví,Sedaví,Sedaví,l'Horta Sud,València/Valencia,9214.399999999999636,182.490000000000009,725817.471700,4367130.665000
519,"213","46224","462248","46226",Segart,Segart,Segart,Segart,Segart,Segart,el Camp de Morvedre,València/Valencia,10767.700000000000728,664.690000000000055,724542.056300,4395324.849000
520,"235","46225","462251","46227",Sellent,Sellent,Sellent,Sellent,Sellent,Sellent,la Ribera Alta,València/Valencia,16867.799999999999272,1400.920000000000073,708406.254700,4323244.435000
521,"138","46226","462264","46228",Sempere,Sempere,Sempere,Sempere,Sempere,Sempere,la Vall d'Albaida,València/Valencia,12143.500000000000000,380.949999999999989,719209.836100,4310771.950000
522,"381","46227","462270","46229",Senyera,Senyera,Senyera,Senyera,Senyera,Senyera,la Ribera Alta,València/Valencia,6608.000000000000000,203.150000000000006,715751.796500,4326911.470000
523,"160","46231","462310","46233",Simat de la Valldigna,Simat de la Valldigna,Simat de la Valldigna,Simat de la Valldigna,Simat de la Valldigna,Simat de la Valldigna,la Safor,València/Valencia,33745.800000000002910,3848.460000000000036,730223.024700,4324792.261000
